NAME        CODE
Razvilka    RU
Moscow      RU
Tarascon    FR
Ploufragan  FR
Berlin      DE
Hamburg     DE
Bremen      DE
Barcelona   ES
Madrid      ES
Valencia    ES
Milano      IT
Palermo     IT
Roma        IT
Bucharest   RO
Pitesti     RO
Brasov      RO
Istanbul    TR
Izmir       TR
Gaziantep   TR
Amsterdam   NL
Rotterdam   NL
Lisboa      PT
Sintra      PT
Sofia       BG
Varna       BG
